param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.21,97.92,100.0,0.52,86.5,98.0,0.52,86.5,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.22,97.79,99.87,0.52,86.5,97.5,0.52,86.5,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.61,100.0,0.55,87.0,98.0,0.55,87.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.02,100.0,100.0,0.58,85.0,97.5,0.58,85.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.16,98.96,99.74,0.49,87.5,98.0,0.49,87.5,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.15,98.96,99.87,0.49,87.5,98.0,0.49,87.5,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.52,85.5,97.0,0.52,85.5,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.54,87.0,97.5,0.54,87.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.1,99.48,100.0,0.46,86.5,98.0,0.46,86.5,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.1,99.22,99.87,0.44,87.0,99.0,0.44,87.0,99.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.52,87.0,97.0,0.52,87.0,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.52,87.0,97.0,0.52,87.0,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.07,99.35,99.74,0.59,85.0,97.0,0.59,85.0,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.07,99.48,100.0,0.53,84.5,98.5,0.53,84.5,98.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,99.87,0.72,80.0,96.0,0.72,80.0,96.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.02,99.61,100.0,0.77,78.5,96.0,0.77,78.5,96.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.2,98.31,99.87,0.5,88.0,98.0,0.5,88.0,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.17,98.57,99.74,0.5,88.0,98.0,0.5,88.0,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.51,86.5,97.0,0.51,86.5,97.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.56,85.0,97.0,0.56,85.0,97.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.14,98.57,99.87,0.49,87.5,98.0,0.49,87.5,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.14,98.57,99.87,0.5,87.0,96.5,0.5,87.0,96.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.53,85.0,96.5,0.53,85.0,96.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.5,86.5,97.5,0.5,86.5,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.06,99.61,100.0,0.51,86.5,96.5,0.51,86.5,96.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.07,99.61,100.0,0.5,85.0,97.0,0.5,85.0,97.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.5,86.0,98.0,0.5,86.0,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.02,99.48,99.87,0.58,85.5,98.5,0.58,85.5,98.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.05,99.61,100.0,0.58,82.5,97.0,0.58,82.5,97.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.04,100.0,100.0,0.59,83.5,98.0,0.59,83.5,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.71,81.0,96.0,0.71,81.0,96.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.02,99.61,100.0,0.74,81.0,94.5,0.74,81.0,94.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.16,99.09,100.0,0.49,87.0,98.0,0.49,87.0,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.17,98.57,99.87,0.49,87.5,98.5,0.49,87.5,98.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.87,99.87,0.52,85.5,98.0,0.52,85.5,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,99.87,0.53,87.5,97.0,0.53,87.5,97.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.1,99.48,100.0,0.49,87.0,96.5,0.49,87.0,96.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.11,99.22,99.74,0.48,87.0,97.0,0.48,87.0,97.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.49,87.0,98.0,0.49,87.0,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.63,82.5,98.5,0.63,82.5,98.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.05,99.74,100.0,0.57,83.0,98.0,0.57,83.0,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.05,99.61,99.87,0.47,87.5,98.5,0.47,87.5,98.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.61,100.0,0.59,83.5,97.5,0.59,83.5,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.02,99.74,100.0,0.48,86.5,98.5,0.48,86.5,98.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.04,100.0,100.0,0.73,82.5,96.5,0.73,82.5,96.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.03,99.74,100.0,0.74,83.0,96.0,0.74,83.0,96.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.08,98.7,99.35,1.76,61.0,82.0,1.76,61.0,82.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.84,75.0,95.0,0.84,75.0,95.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.14,99.35,99.87,0.48,88.5,98.5,0.48,88.5,98.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.16,98.7,99.87,0.48,87.5,98.0,0.48,87.5,98.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.51,88.0,98.0,0.51,88.0,98.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.56,84.5,97.0,0.56,84.5,97.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.09,99.35,99.87,0.49,87.0,96.5,0.49,87.0,96.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.08,99.35,99.87,0.43,90.0,98.0,0.43,90.0,98.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.57,83.5,98.5,0.57,83.5,98.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.58,88.0,97.5,0.58,88.0,97.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.04,99.74,100.0,0.58,85.0,96.5,0.58,85.0,96.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.04,99.74,100.0,0.68,81.0,97.0,0.68,81.0,97.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,100.0,0.68,83.0,96.0,0.68,83.0,96.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.02,99.87,99.87,0.6,83.5,97.5,0.6,83.5,97.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.03,99.87,100.0,0.93,80.0,95.5,0.93,80.0,95.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.04,99.61,99.87,0.76,81.0,96.5,0.76,81.0,96.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.69,78.5,96.5,0.69,78.5,96.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",4.09,5.73,18.36,4.48,4.0,14.0,4.48,4.0,14.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.14,98.7,100.0,0.48,88.0,97.0,0.48,88.0,97.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.15,99.22,100.0,0.5,88.0,97.5,0.5,88.0,97.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,99.87,0.52,84.0,97.5,0.52,84.0,97.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.53,87.5,97.0,0.53,87.5,97.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.05,99.74,100.0,0.48,87.0,97.5,0.48,87.0,97.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.06,99.74,99.74,0.49,86.0,97.5,0.49,86.0,97.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.7,84.0,96.0,0.7,84.0,96.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.64,83.5,98.5,0.64,83.5,98.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.63,85.5,97.5,0.63,85.5,97.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.03,99.87,100.0,0.7,83.5,97.5,0.7,83.5,97.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.87,99.87,0.71,83.5,95.5,0.71,83.5,95.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.77,81.0,97.5,0.77,81.0,97.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.05,99.35,100.0,1.11,78.0,93.5,1.11,78.0,93.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.03,99.74,100.0,0.95,82.0,96.5,0.95,82.0,96.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",1.99,44.79,79.95,5.31,11.0,26.0,5.31,11.0,26.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",3.48,13.15,38.54,4.71,5.5,17.5,4.71,5.5,17.5
